Date,Product,Quantity,Price
2026-03-04,Cold Brew,1,30000
2026-03-09,Cold Brew,2,30000
2026-03-05,Latte,1,28000
2026-03-24,Cold Brew,5,30000
2026-03-19,Espresso,4,18000
2026-03-01,Espresso,1,18000
2026-03-08,Latte,5,28000
2026-03-01,Croissant,5,20000
2026-03-23,Latte,5,28000
2026-03-08,Americano,4,22000
2026-03-09,Croissant,1,20000
2026-03-23,Latte,4,28000
2026-03-09,Cappuccino,2,27000
2026-03-25,Latte,3,28000
2026-03-03,Espresso,4,18000
2026-03-12,Espresso,3,18000
2026-03-09,Croissant,1,20000
2026-03-15,Cold Brew,5,30000
2026-03-13,Espresso,1,18000
2026-03-10,Croissant,5,20000
2026-03-19,Cappuccino,2,27000
2026-03-03,Cold Brew,1,30000
2026-03-08,Cold Brew,3,30000
2026-03-28,Espresso,2,18000
2026-03-13,Espresso,3,18000
2026-03-21,Americano,3,22000
2026-03-12,Latte,3,28000
2026-03-22,Latte,3,28000
2026-03-22,Cold Brew,1,30000
2026-03-21,Croissant,2,20000
2026-03-24,Croissant,2,20000
2026-03-15,Latte,4,28000
2026-03-21,Cappuccino,5,27000
2026-03-22,Latte,3,28000
2026-03-08,Espresso,1,18000
2026-03-13,Cappuccino,3,27000
2026-03-07,Espresso,5,18000
2026-03-11,Cold Brew,2,30000
2026-03-16,Cold Brew,4,30000
2026-03-15,Cold Brew,2,30000
2026-03-05,Cappuccino,2,27000
2026-03-18,Cold Brew,5,30000
2026-03-24,Cappuccino,5,27000
2026-03-19,Americano,4,22000
2026-03-08,Cappuccino,2,27000
2026-03-16,Croissant,1,20000
2026-03-28,Espresso,1,18000
2026-03-21,Latte,2,28000
2026-03-14,Cold Brew,5,30000
2026-03-13,Espresso,4,18000
2026-03-15,Croissant,5,20000
2026-03-18,Cappuccino,1,27000
2026-03-24,Cold Brew,1,30000
2026-03-18,Cold Brew,3,30000
2026-03-11,Cold Brew,1,30000
2026-03-14,Cappuccino,2,27000
2026-03-01,Americano,3,22000
2026-03-25,Croissant,2,20000
2026-03-04,Croissant,3,20000
2026-03-17,Cold Brew,5,30000
2026-03-05,Latte,3,28000
2026-03-18,Latte,5,28000
2026-03-20,Espresso,3,18000
2026-03-01,Americano,1,22000
2026-03-27,Cappuccino,3,27000
2026-03-02,Latte,2,28000
2026-03-03,Croissant,1,20000
2026-03-16,Cold Brew,1,30000
2026-03-25,Croissant,2,20000
2026-03-22,Latte,4,28000
2026-03-06,Croissant,3,20000
2026-03-28,Croissant,5,20000
2026-03-07,Americano,5,22000
2026-03-23,Cold Brew,2,30000
2026-03-10,Cold Brew,4,30000
2026-03-21,Cold Brew,3,30000
2026-03-17,Americano,4,22000
2026-03-08,Espresso,2,18000
2026-03-11,Espresso,1,18000
2026-03-18,Croissant,2,20000
2026-03-08,Croissant,1,20000
2026-03-23,Espresso,1,18000
2026-03-03,Latte,1,28000
2026-03-03,Cappuccino,5,27000
2026-03-09,Latte,4,28000
2026-03-18,Latte,2,28000
2026-03-19,Cold Brew,5,30000
2026-03-08,Americano,4,22000
2026-03-07,Americano,1,22000
2026-03-22,Espresso,4,18000
