Order ID,Order Date,Product,City,Price,Notes
O1000,2026-04-14,Coffee - Cappuccino,Jakata,27000,
,,,,,
O1001,2026-04-22,Coffee - Americano,Jakarta,22000,
O1002,2026-04-02,Coffee - Cold Brew,Jakarta,30000,
O1003,2026-04-26,Coffee - Americano,Surabaya,22000,
O1004,2026-04-07,Coffee - Espresso,Bandung,18000,
O1005,2026-04-15,Coffee - Latte,Medan,28000,
O1006,2026-04-06,Coffee - Latte,Jakata,28000,
O1007,2026-04-08,Coffee - Cappuccino,Jakata,27000,
O1008,2026-04-26,Coffee - Espresso,Jakata,18000,
O1009,2026-04-02,Coffee - Croissant,Jakarta,20000,
O1010,2026-04-27,Coffee - Cold Brew,Medan,30000,
O1011,2026-04-25,Coffee - Espresso,Jakarta,18000,
O1012,2026-04-14,Coffee - Latte,Bandung,28000,
,,,,,
O1013,2026-04-07,Coffee - Americano,Jakata,22000,
O1014,2026-04-06,Coffee - Americano,Jakarta,22000,
O1015,2026-04-13,Coffee - Americano,Jakarta,22000,
O1016,2026-04-10,Coffee - Cappuccino,Jakata,27000,
O1017,2026-04-22,Coffee - Americano,Medan,22000,
O1018,2026-04-05,Coffee - Cold Brew,Jakata,30000,
O1019,2026-04-07,Coffee - Latte,Surabaya,28000,
O1020,2026-04-24,Coffee - Espresso,Medan,18000,
O1021,2026-04-24,Coffee - Croissant,Jakarta,20000,
O1022,2026-04-02,Coffee - Cappuccino,Jakarta,27000,
O1023,2026-04-17,Coffee - Croissant,Jakata,20000,
O1024,2026-04-02,Coffee - Croissant,Bandung,20000,
,,,,,
O1025,2026-04-28,Coffee - Croissant,Jakarta,20000,
O1026,2026-04-20,Coffee - Latte,Jakarta,28000,
O1027,2026-04-13,Coffee - Espresso,Bandung,18000,
O1028,2026-04-08,Coffee - Espresso,Medan,18000,
O1029,2026-04-02,Coffee - Croissant,Medan,20000,
O1030,2026-04-14,Coffee - Croissant,Jakarta,20000,
O1031,2026-04-19,Coffee - Cold Brew,Medan,30000,
O1032,2026-04-09,Coffee - Croissant,Surabaya,20000,
O1033,2026-04-08,Coffee - Latte,Surabaya,28000,
O1034,2026-04-05,Coffee - Cappuccino,Jakata,27000,
O1035,2026-04-15,Coffee - Cold Brew,Surabaya,30000,
O1036,2026-04-01,Coffee - Cappuccino,Jakarta,27000,
,,,,,
O1037,2026-04-19,Coffee - Americano,Medan,22000,
O1038,2026-04-18,Coffee - Espresso,Jakarta,18000,
O1039,2026-04-09,Coffee - Latte,Medan,28000,
O1040,2026-04-03,Coffee - Latte,Surabaya,28000,
O1041,2026-04-10,Coffee - Latte,Surabaya,28000,
O1042,2026-04-27,Coffee - Latte,Jakata,28000,
O1043,2026-04-20,Coffee - Croissant,Surabaya,20000,
O1044,2026-04-01,Coffee - Cold Brew,Medan,30000,
O1045,2026-04-10,Coffee - Cold Brew,Medan,30000,
O1046,2026-04-05,Coffee - Cold Brew,Jakarta,30000,
O1047,2026-04-04,Coffee - Cappuccino,Jakarta,27000,
O1048,2026-04-05,Coffee - Cold Brew,Medan,30000,
,,,,,
O1049,2026-04-20,Coffee - Cappuccino,Surabaya,27000,
O1050,2026-04-07,Coffee - Latte,Surabaya,28000,
O1051,2026-04-17,Coffee - Cold Brew,Surabaya,30000,
O1052,2026-04-28,Coffee - Americano,Surabaya,22000,
O1053,2026-04-21,Coffee - Espresso,Jakarta,18000,
O1054,2026-04-02,Coffee - Americano,Surabaya,22000,
O1055,2026-04-25,Coffee - Espresso,Surabaya,18000,
O1056,2026-04-06,Coffee - Latte,Surabaya,28000,
O1057,2026-04-18,Coffee - Cold Brew,Jakata,30000,
O1058,2026-04-18,Coffee - Cold Brew,Jakata,30000,
O1059,2026-04-03,Coffee - Espresso,Jakarta,18000,
